     TURKIYE TURKCESININ DIGRAFIK PARAMETRELERI
         ( BOSLUK DAHIL , 30 KARAKTER ICIN )       

Digraf  Frekans      Log(F)     Log (F)   Olasilik    Gecis     Entropi
                                   C                 Olasilik
======  =======     ========    ========  ========   =========  ========
  $N      73141     4.864161    0.940328  0.011800   0.166125   0.075578
  $O         38     1.579784    0.305400  0.000006   0.000086   0.000106
  $#          2     0.301030    0.058194  0.000000   0.000005   0.000007
  $P       4007     3.602819    0.696489  0.000646   0.009101   0.006849
  $R      60582     4.782343    0.924512  0.009774   0.137600   0.065257
  $S      12775     4.106361    0.793832  0.002061   0.029016   0.018389
  $@      20791     4.317875    0.834722  0.003354   0.047223   0.027571
  $T       8639     3.936463    0.760988  0.001394   0.019622   0.013222
  $U          8     0.903090    0.174583  0.000001   0.000018   0.000025
  $"          6     0.778151    0.150430  0.000001   0.000014   0.000019
  $V       1042     3.017868    0.583407  0.000168   0.002367   0.002108
  $Y      26384     4.421340    0.854723  0.004256   0.059926   0.033524
  $Z      14328     4.156186    0.803464  0.002312   0.032543   0.020242
  $b      99691     4.998656    0.966329  0.016083   0.226428   0.095827

  JA        222     2.346353    0.453592  0.000036   0.308762   0.000529
  JB          1     0.000000    0.000000  0.000000   0.001391   0.000004
  JC          3     0.477121    0.092236  0.000000   0.004172   0.000010
  J›          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JD         96     1.982271    0.383208  0.000015   0.133519   0.000247
  JE         80     1.903090    0.367901  0.000013   0.111266   0.000210
  JF          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JG          0     0.000000    0.000000  0.000000   0.000000   0.000000
  J!          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JH          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JI         18     1.255273    0.242666  0.000003   0.025035   0.000053
  J$        152     2.181844    0.421789  0.000025   0.211405   0.000376
  JJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JK          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JL         21     1.322219    0.255608  0.000003   0.029207   0.000062
  JM          2     0.301030    0.058194  0.000000   0.002782   0.000007
  JN          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JO          8     0.903090    0.174583  0.000001   0.011127   0.000025
  J#          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JP          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JR          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JS          1     0.000000    0.000000  0.000000   0.001391   0.000004
  J@          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JT          0     0.000000    0.000000  0.000000   0.000000   0.000000
  JU         23     1.361728    0.263246  0.000004   0.031989   0.000067
  J"          3     0.477121    0.092236  0.000000   0.004172   0.000010
  JV          1     0.000000    0.000000  0.000000   0.001391   0.000004
  JY          1     0.000000    0.000000  0.000000   0.001391   0.000004
  JZ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  Jb         87     1.939519    0.374943  0.000014   0.121001   0.000226

  KA      52550     4.720573    0.912570  0.008478   0.209571   0.058345
  KB        251     2.399674    0.463899  0.000040   0.001001   0.000591
  KC         49     1.690196    0.326745  0.000008   0.000195   0.000134
  K›       1410     3.149219    0.608800  0.000227   0.005623   0.002753
  KD        153     2.184691    0.422340  0.000025   0.000610   0.000378
  KE      18524     4.267735    0.825029  0.002988   0.073874   0.025062
  KF         17     1.230449    0.237868  0.000003   0.000068   0.000051
  KG         20     1.301030    0.251512  0.000003   0.000080   0.000059
  K!          3     0.477121    0.092236  0.000000   0.000012   0.000010
  KH         28     1.447158    0.279761  0.000005   0.000112   0.000080
  KI      17593     4.245340    0.820699  0.002838   0.070162   0.024014
  K$      25141     4.400383    0.850672  0.004056   0.100263   0.032227
  KJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  KK       1634     3.213252    0.621179  0.000264   0.006516   0.003134
  KL      20198     4.305308    0.832292  0.003258   0.080550   0.026920
  KM       3888     3.589726    0.693958  0.000627   0.015505   0.006673
  KN        190     2.278754    0.440523  0.000031   0.000758   0.000460
  KO      11954     4.077513    0.788256  0.001929   0.047673   0.017392
  K#       3822     3.582291    0.692520  0.000617   0.015242   0.006575
  KP         19     1.278754    0.247206  0.000003   0.000076   0.000056
  KR       1408     3.148603    0.608681  0.000227   0.005615   0.002749
  KS       4011     3.603253    0.696573  0.000647   0.015996   0.006855
  K@        861     2.935003    0.567388  0.000139   0.003434   0.001780
  KT      15471     4.189518    0.809908  0.002496   0.061699   0.021580
  KU      11404     4.057057    0.784301  0.001840   0.045480   0.016717
  K"       5328     3.726564    0.720411  0.000860   0.021248   0.008754
  KV         37     1.568202    0.303161  0.000006   0.000148   0.000104
